Natural Language Command,Main Command,Argument
terminate notepad for me,close application,notepad
can you boot up excel,open application,excel
run photoshop,open application,photoshop
run powerpoint for me,open application,powerpoint
can you restart skype,restart application,skype
please reload zoom,restart application,zoom
please close photoshop,close application,photoshop
i need you to relaunch zoom,restart application,zoom
please launch word,open application,word
i need you to shut down photoshop,close application,photoshop
exit firefox for me,close application,firefox
start outlook,open application,outlook
reload chrome for me,restart application,chrome
can you run slack,open application,slack
close chrome,close application,chrome
reboot photoshop for me,restart application,photoshop
run outlook for me,open application,outlook
relaunch photoshop,restart application,photoshop
please execute spotify,open application,spotify
terminate spotify for me,close application,spotify
restart powerpoint,restart application,powerpoint
please run notepad,open application,notepad
please end discord,close application,discord
reload matlab for me,restart application,matlab
i need you to reboot slack,restart application,slack
please close outlook,close application,outlook
run matlab,open application,matlab
please exit discord,close application,discord
please reload photoshop,restart application,photoshop
please launch firefox,open application,firefox
i need you to restart vscode,restart application,vscode
restart zoom,restart application,zoom
relaunch zoom for me,restart application,zoom
reload photoshop,restart application,photoshop
reboot zoom,restart application,zoom
exit excel for me,close application,excel
execute excel,open application,excel
relaunch notepad for me,restart application,notepad
can you execute chrome,open application,chrome
exit powerpoint for me,close application,powerpoint
please run excel,open application,excel
i need you to run discord,open application,discord
i need you to reload word,restart application,word
end spotify for me,close application,spotify
reboot vscode for me,restart application,vscode
please reload powerpoint,restart application,powerpoint
please launch slack,open application,slack
please end powerpoint,close application,powerpoint
please start vscode,open application,vscode
i need you to boot up word,open application,word
quit matlab for me,close application,matlab
end outlook,close application,outlook
can you reload slack,restart application,slack
i need you to reload notepad,restart application,notepad
boot up skype for me,open application,skype
please close outlook,close application,outlook
can you restart word,restart application,word
open spotify for me,open application,spotify
shut down zoom for me,close application,zoom
boot up powerpoint,open application,powerpoint
can you reboot photoshop,restart application,photoshop
run word for me,open application,word
run skype for me,open application,skype
can you end slack,close application,slack
i need you to terminate outlook,close application,outlook
i need you to reload matlab,restart application,matlab
please quit outlook,close application,outlook
exit excel for me,close application,excel
i need you to run notepad,open application,notepad
end notepad for me,close application,notepad
i need you to terminate vscode,close application,vscode
close photoshop,close application,photoshop
end excel,close application,excel
can you exit discord,close application,discord
please start outlook,open application,outlook
please open firefox,open application,firefox
can you shut down vscode,close application,vscode
can you restart notepad,restart application,notepad
please relaunch powerpoint,restart application,powerpoint
please execute notepad,open application,notepad
restart zoom,restart application,zoom
can you shut down matlab,close application,matlab
can you end word,close application,word
i need you to reboot matlab,restart application,matlab
please close matlab,close application,matlab
please reload slack,restart application,slack
i need you to shut down firefox,close application,firefox
i need you to terminate notepad,close application,notepad
i need you to open firefox,open application,firefox
i need you to boot up notepad,open application,notepad
please reload matlab,restart application,matlab
i need you to close slack,close application,slack
please run vscode,open application,vscode
shut down zoom for me,close application,zoom
reload firefox for me,restart application,firefox
please boot up firefox,open application,firefox
execute spotify for me,open application,spotify
execute slack,open application,slack
i need you to run skype,open application,skype
can you reload photoshop,restart application,photoshop
i need you to shut down excel,close application,excel
please run zoom,open application,zoom
can you boot up vscode,open application,vscode
i need you to close vscode,close application,vscode
i need you to restart slack,restart application,slack
can you terminate firefox,close application,firefox
please close matlab,close application,matlab
can you execute spotify,open application,spotify
i need you to reload skype,restart application,skype
run powerpoint for me,open application,powerpoint
can you close skype,close application,skype
can you launch discord,open application,discord
please execute spotify,open application,spotify
relaunch word,restart application,word
launch outlook for me,open application,outlook
run discord,open application,discord
execute spotify for me,open application,spotify
please close photoshop,close application,photoshop
please open chrome,open application,chrome
quit matlab for me,close application,matlab
run outlook,open application,outlook
please terminate photoshop,close application,photoshop
restart photoshop for me,restart application,photoshop
can you reboot firefox,restart application,firefox
can you boot up word,open application,word
execute photoshop,open application,photoshop
please end photoshop,close application,photoshop
i need you to terminate word,close application,word
exit outlook,close application,outlook
please reboot firefox,restart application,firefox
exit matlab for me,close application,matlab
i need you to relaunch discord,restart application,discord
exit chrome,close application,chrome
i need you to quit skype,close application,skype
i need you to execute spotify,open application,spotify
start excel for me,open application,excel
exit skype,close application,skype
quit powerpoint for me,close application,powerpoint
i need you to open photoshop,open application,photoshop
please end discord,close application,discord
please relaunch skype,restart application,skype
quit slack for me,close application,slack
i need you to run vscode,open application,vscode
please restart outlook,restart application,outlook
i need you to reboot zoom,restart application,zoom
can you launch firefox,open application,firefox
i need you to restart discord,restart application,discord
relaunch chrome,restart application,chrome
quit slack for me,close application,slack
can you relaunch matlab,restart application,matlab
please reboot skype,restart application,skype
end notepad for me,close application,notepad
can you quit word,close application,word
shut down skype,close application,skype
please execute spotify,open application,spotify
please open word,open application,word
i need you to shut down discord,close application,discord
please end excel,close application,excel
reboot matlab for me,restart application,matlab
i need you to run matlab,open application,matlab
can you relaunch powerpoint,restart application,powerpoint
please relaunch firefox,restart application,firefox
can you launch discord,open application,discord
reload skype for me,restart application,skype
end outlook for me,close application,outlook
execute discord for me,open application,discord
i need you to reload slack,restart application,slack
can you quit skype,close application,skype
end notepad,close application,notepad
can you execute matlab,open application,matlab
please boot up excel,open application,excel
terminate word,close application,word
please shut down photoshop,close application,photoshop
i need you to shut down chrome,close application,chrome
please launch firefox,open application,firefox
please run skype,open application,skype
close powerpoint for me,close application,powerpoint
end matlab for me,close application,matlab
restart excel for me,restart application,excel
can you relaunch powerpoint,restart application,powerpoint
execute powerpoint for me,open application,powerpoint
please relaunch powerpoint,restart application,powerpoint
i need you to reboot zoom,restart application,zoom
reboot zoom for me,restart application,zoom
please relaunch notepad,restart application,notepad
please reload excel,restart application,excel
i need you to execute skype,open application,skype
i need you to start chrome,open application,chrome
reboot chrome for me,restart application,chrome
start notepad,open application,notepad
reload photoshop for me,restart application,photoshop
i need you to execute discord,open application,discord
start matlab,open application,matlab
can you launch excel,open application,excel
close matlab for me,close application,matlab
please open photoshop,open application,photoshop
please terminate vscode,close application,vscode
i need you to reboot zoom,restart application,zoom
can you reload matlab,restart application,matlab
open discord for me,open application,discord
please close chrome,close application,chrome
relaunch vscode,restart application,vscode
i need you to quit zoom,close application,zoom
i need you to shut down word,close application,word
boot up excel,open application,excel
reboot excel for me,restart application,excel
please open discord,open application,discord
please terminate matlab,close application,matlab
exit firefox for me,close application,firefox
please relaunch excel,restart application,excel
can you shut down zoom,close application,zoom
please open excel,open application,excel
i need you to execute notepad,open application,notepad
please restart spotify,restart application,spotify
please quit firefox,close application,firefox
end zoom for me,close application,zoom
shut down vscode for me,close application,vscode
reload matlab,restart application,matlab
shut down discord,close application,discord
i need you to shut down powerpoint,close application,powerpoint
execute spotify,open application,spotify
reboot excel for me,restart application,excel
please terminate outlook,close application,outlook
can you close vscode,close application,vscode
can you reboot word,restart application,word
quit zoom,close application,zoom
please reload word,restart application,word
can you shut down notepad,close application,notepad
can you run skype,open application,skype
please launch zoom,open application,zoom
i need you to boot up spotify,open application,spotify
can you relaunch outlook,restart application,outlook
i need you to reload excel,restart application,excel
relaunch zoom,restart application,zoom
i need you to restart word,restart application,word
execute powerpoint for me,open application,powerpoint
quit slack for me,close application,slack
please quit firefox,close application,firefox
can you terminate zoom,close application,zoom
reload vscode for me,restart application,vscode
please execute powerpoint,open application,powerpoint
boot up notepad,open application,notepad
i need you to close spotify,close application,spotify
reload skype for me,restart application,skype
quit photoshop,close application,photoshop
please reboot excel,restart application,excel
i need you to reload excel,restart application,excel
i need you to exit notepad,close application,notepad
i need you to reload vscode,restart application,vscode
please execute chrome,open application,chrome
can you close chrome,close application,chrome
can you terminate outlook,close application,outlook
launch firefox for me,open application,firefox
reload word,restart application,word
open notepad for me,open application,notepad
i need you to restart discord,restart application,discord
close chrome for me,close application,chrome
please execute matlab,open application,matlab
can you quit notepad,close application,notepad
execute spotify,open application,spotify
please terminate photoshop,close application,photoshop
can you execute zoom,open application,zoom
open chrome,open application,chrome
please terminate word,close application,word
please start zoom,open application,zoom
i need you to open photoshop,open application,photoshop
please execute skype,open application,skype
i need you to shut down vscode,close application,vscode
can you restart matlab,restart application,matlab
please execute excel,open application,excel
can you exit notepad,close application,notepad
i need you to relaunch discord,restart application,discord
i need you to close notepad,close application,notepad
open matlab for me,open application,matlab
can you run word,open application,word
start powerpoint for me,open application,powerpoint
can you restart powerpoint,restart application,powerpoint
i need you to restart notepad,restart application,notepad
boot up vscode,open application,vscode
can you relaunch zoom,restart application,zoom
please relaunch matlab,restart application,matlab
i need you to start chrome,open application,chrome
shut down outlook for me,close application,outlook
launch zoom for me,open application,zoom
can you relaunch chrome,restart application,chrome
please end photoshop,close application,photoshop
boot up outlook for me,open application,outlook
can you close outlook,close application,outlook
i need you to exit notepad,close application,notepad
launch word for me,open application,word
close spotify for me,close application,spotify
quit slack,close application,slack
execute notepad,open application,notepad
please execute discord,open application,discord
can you reboot word,restart application,word
reboot slack,restart application,slack
reload photoshop for me,restart application,photoshop
i need you to start chrome,open application,chrome
shut down powerpoint for me,close application,powerpoint
reload matlab,restart application,matlab
i need you to restart chrome,restart application,chrome
please run discord,open application,discord
terminate zoom for me,close application,zoom
can you restart matlab,restart application,matlab
execute discord,open application,discord
i need you to run word,open application,word
please restart excel,restart application,excel
i need you to run spotify,open application,spotify
open spotify for me,open application,spotify
shut down photoshop for me,close application,photoshop
can you boot up excel,open application,excel
quit spotify,close application,spotify
can you end vscode,close application,vscode
i need you to boot up vscode,open application,vscode
quit skype for me,close application,skype
relaunch outlook for me,restart application,outlook
reload outlook,restart application,outlook
i need you to reload zoom,restart application,zoom
please quit vscode,close application,vscode
i need you to execute chrome,open application,chrome
open skype for me,open application,skype
quit matlab,close application,matlab
i need you to boot up vscode,open application,vscode
i need you to launch discord,open application,discord
please start discord,open application,discord
end vscode for me,close application,vscode
i need you to quit word,close application,word
please run excel,open application,excel
i need you to execute firefox,open application,firefox
please launch skype,open application,skype
please relaunch chrome,restart application,chrome
relaunch firefox,restart application,firefox
open word,open application,word
please shut down excel,close application,excel
please exit matlab,close application,matlab
start word for me,open application,word
can you reboot powerpoint,restart application,powerpoint
restart powerpoint for me,restart application,powerpoint
can you launch word,open application,word
open vscode,open application,vscode
please restart slack,restart application,slack
please run vscode,open application,vscode
run outlook,open application,outlook
please terminate matlab,close application,matlab
please exit excel,close application,excel
start powerpoint,open application,powerpoint
i need you to terminate outlook,close application,outlook
relaunch notepad,restart application,notepad
run skype,open application,skype
can you terminate excel,close application,excel
terminate photoshop,close application,photoshop
can you reboot firefox,restart application,firefox
please terminate word,close application,word
relaunch discord for me,restart application,discord
launch slack for me,open application,slack
can you run slack,open application,slack
please restart photoshop,restart application,photoshop
can you reboot outlook,restart application,outlook
terminate photoshop,close application,photoshop
end notepad,close application,notepad
please close powerpoint,close application,powerpoint
end slack for me,close application,slack
quit photoshop for me,close application,photoshop
i need you to quit discord,close application,discord
i need you to restart notepad,restart application,notepad
end word,close application,word
i need you to execute skype,open application,skype
i need you to start matlab,open application,matlab
can you run outlook,open application,outlook
can you start firefox,open application,firefox
i need you to boot up zoom,open application,zoom
i need you to open outlook,open application,outlook
relaunch notepad,restart application,notepad
can you reboot outlook,restart application,outlook
launch matlab,open application,matlab
i need you to quit vscode,close application,vscode
shut down vscode for me,close application,vscode
execute firefox,open application,firefox
open slack for me,open application,slack
can you shut down firefox,close application,firefox
can you restart vscode,restart application,vscode
please close spotify,close application,spotify
i need you to execute chrome,open application,chrome
please end matlab,close application,matlab
open word for me,open application,word
can you exit slack,close application,slack
i need you to launch zoom,open application,zoom
i need you to launch slack,open application,slack
please end powerpoint,close application,powerpoint
please quit excel,close application,excel
i need you to reboot discord,restart application,discord
set brightness to maximum,adjust brightness,maximum
set volume to 10%,increase volume,10%
change brightness to 25%,adjust brightness,25%
change brightness to 50%,adjust brightness,50%
change brightness to maximum,adjust brightness,maximum
reboot computer,reboot system,none
set volume to 10%,increase volume,10%
set volume to 30%,increase volume,30%
reboot system,reboot system,none
restart pc,reboot system,none
restart the computer,reboot system,none
volume 20%,increase volume,20%
set volume to 60%,increase volume,60%
volume 40%,increase volume,40%
reboot computer,reboot system,none
adjust volume to maximum,increase volume,maximum
adjust volume to 100%,increase volume,100%
restart the computer,reboot system,none
change volume to mute,increase volume,mute
adjust volume to 10%,increase volume,10%
brightness 25%,adjust brightness,25%
adjust screen to 75%,adjust brightness,75%
volume 10%,increase volume,10%
set brightness to maximum,adjust brightness,maximum
adjust screen to minimum,adjust brightness,minimum
brightness 75%,adjust brightness,75%
change volume to 100%,increase volume,100%
adjust volume to mute,increase volume,mute
brightness 25%,adjust brightness,25%
adjust screen to 25%,adjust brightness,25%
set brightness to 75%,adjust brightness,75%
brightness minimum,adjust brightness,minimum
change brightness to 75%,adjust brightness,75%
adjust volume to 0%,increase volume,0%
adjust volume to 90%,increase volume,90%
volume 60%,increase volume,60%
reboot computer,reboot system,none
make it mute loud,increase volume,mute
reboot computer,reboot system,none
brightness minimum,adjust brightness,minimum
make screen 75% bright,adjust brightness,75%
brightness 50%,adjust brightness,50%
restart the computer,reboot system,none
volume maximum,increase volume,maximum
volume 10%,increase volume,10%
change volume to 70%,increase volume,70%
brightness 50%,adjust brightness,50%
change brightness to 25%,adjust brightness,25%
reboot system,reboot system,none
reboot computer,reboot system,none
volume 0%,increase volume,0%
brightness 50%,adjust brightness,50%
adjust screen to maximum,adjust brightness,maximum
make it maximum loud,increase volume,maximum
change brightness to 50%,adjust brightness,50%
adjust screen to minimum,adjust brightness,minimum
restart the computer,reboot system,none
set brightness to 25%,adjust brightness,25%
restart the computer,reboot system,none
system restart needed,reboot system,none
brightness 25%,adjust brightness,25%
set brightness to 25%,adjust brightness,25%
change brightness to minimum,adjust brightness,minimum
change brightness to maximum,adjust brightness,maximum
brightness minimum,adjust brightness,minimum
make screen 25% bright,adjust brightness,25%
make screen 50% bright,adjust brightness,50%
volume 0%,increase volume,0%
system restart needed,reboot system,none
set brightness to 25%,adjust brightness,25%
restart the computer,reboot system,none
restart pc,reboot system,none
change volume to 90%,increase volume,90%
make it 90% loud,increase volume,90%
brightness maximum,adjust brightness,maximum
adjust volume to 50%,increase volume,50%
set volume to 40%,increase volume,40%
change volume to 20%,increase volume,20%
system restart needed,reboot system,none
make screen 50% bright,adjust brightness,50%
make it maximum loud,increase volume,maximum
make screen 25% bright,adjust brightness,25%
change volume to 60%,increase volume,60%
adjust screen to 25%,adjust brightness,25%
adjust volume to 20%,increase volume,20%
set volume to 80%,increase volume,80%
reboot system,reboot system,none
system restart needed,reboot system,none
system restart needed,reboot system,none
change volume to 70%,increase volume,70%
make screen maximum bright,adjust brightness,maximum
change brightness to 50%,adjust brightness,50%
change brightness to 25%,adjust brightness,25%
set brightness to minimum,adjust brightness,minimum
system restart needed,reboot system,none
set brightness to 25%,adjust brightness,25%
brightness 75%,adjust brightness,75%
volume 90%,increase volume,90%
brightness 75%,adjust brightness,75%
change volume to 50%,increase volume,50%
set brightness to 50%,adjust brightness,50%
set volume to maximum,increase volume,maximum
adjust volume to 60%,increase volume,60%
make screen 25% bright,adjust brightness,25%
change brightness to 75%,adjust brightness,75%
system restart needed,reboot system,none
change volume to 90%,increase volume,90%
volume 0%,increase volume,0%
set volume to 60%,increase volume,60%
reboot computer,reboot system,none
restart the computer,reboot system,none
reboot computer,reboot system,none
change brightness to 50%,adjust brightness,50%
reboot computer,reboot system,none
make it 30% loud,increase volume,30%
set brightness to 75%,adjust brightness,75%
change volume to 90%,increase volume,90%
adjust screen to minimum,adjust brightness,minimum
restart pc,reboot system,none
make screen 75% bright,adjust brightness,75%
set brightness to 25%,adjust brightness,25%
set brightness to 50%,adjust brightness,50%
system restart needed,reboot system,none
system restart needed,reboot system,none
set volume to maximum,increase volume,maximum
change brightness to minimum,adjust brightness,minimum
adjust screen to maximum,adjust brightness,maximum
restart pc,reboot system,none
make it 10% loud,increase volume,10%
volume 70%,increase volume,70%
brightness minimum,adjust brightness,minimum
set brightness to maximum,adjust brightness,maximum
adjust volume to 60%,increase volume,60%
brightness minimum,adjust brightness,minimum
system restart needed,reboot system,none
system restart needed,reboot system,none
adjust screen to minimum,adjust brightness,minimum
make it 80% loud,increase volume,80%
change brightness to maximum,adjust brightness,maximum
restart pc,reboot system,none
restart pc,reboot system,none
reboot system,reboot system,none
make it 40% loud,increase volume,40%
adjust volume to 30%,increase volume,30%
change volume to 60%,increase volume,60%
reboot system,reboot system,none
make screen minimum bright,adjust brightness,minimum
make it 30% loud,increase volume,30%
restart pc,reboot system,none
volume 70%,increase volume,70%
reboot system,reboot system,none
system restart needed,reboot system,none
reboot computer,reboot system,none
reboot computer,reboot system,none
change brightness to minimum,adjust brightness,minimum
make it 50% loud,increase volume,50%
brightness minimum,adjust brightness,minimum
set volume to 10%,increase volume,10%
restart pc,reboot system,none
change brightness to 25%,adjust brightness,25%
volume maximum,increase volume,maximum
set volume to 40%,increase volume,40%
adjust screen to 50%,adjust brightness,50%
adjust screen to maximum,adjust brightness,maximum
set brightness to 75%,adjust brightness,75%
make screen 50% bright,adjust brightness,50%
change volume to 70%,increase volume,70%
reboot computer,reboot system,none
volume 40%,increase volume,40%
restart pc,reboot system,none
change volume to 20%,increase volume,20%
make screen 50% bright,adjust brightness,50%
make screen 75% bright,adjust brightness,75%
adjust screen to 75%,adjust brightness,75%
make it 70% loud,increase volume,70%
system restart needed,reboot system,none
change volume to 80%,increase volume,80%
make screen maximum bright,adjust brightness,maximum
volume mute,increase volume,mute
make screen 25% bright,adjust brightness,25%
brightness 75%,adjust brightness,75%
make screen 25% bright,adjust brightness,25%
change brightness to 75%,adjust brightness,75%
system restart needed,reboot system,none
set volume to 0%,increase volume,0%
change volume to 90%,increase volume,90%
adjust screen to 50%,adjust brightness,50%
restart pc,reboot system,none
set brightness to 75%,adjust brightness,75%
change volume to 50%,increase volume,50%
reboot computer,reboot system,none
restart the computer,reboot system,none
restart pc,reboot system,none
brightness 50%,adjust brightness,50%
adjust volume to 90%,increase volume,90%
adjust volume to 20%,increase volume,20%
set brightness to minimum,adjust brightness,minimum
make screen 50% bright,adjust brightness,50%
adjust screen to maximum,adjust brightness,maximum
change brightness to 50%,adjust brightness,50%
brightness 50%,adjust brightness,50%
make screen 25% bright,adjust brightness,25%
adjust screen to 75%,adjust brightness,75%
reboot computer,reboot system,none
change volume to 10%,increase volume,10%
volume 10%,increase volume,10%
make screen minimum bright,adjust brightness,minimum
reboot computer,reboot system,none
volume 0%,increase volume,0%
make screen minimum bright,adjust brightness,minimum
change volume to 70%,increase volume,70%
volume 10%,increase volume,10%
make screen 75% bright,adjust brightness,75%
make it 100% loud,increase volume,100%
adjust volume to 90%,increase volume,90%
set brightness to minimum,adjust brightness,minimum
volume 0%,increase volume,0%
adjust volume to maximum,increase volume,maximum
reboot system,reboot system,none
change brightness to 75%,adjust brightness,75%
set brightness to 25%,adjust brightness,25%
reboot computer,reboot system,none
make it mute loud,increase volume,mute
change brightness to minimum,adjust brightness,minimum
make screen 50% bright,adjust brightness,50%
set volume to 30%,increase volume,30%
adjust screen to 50%,adjust brightness,50%
restart the computer,reboot system,none
brightness maximum,adjust brightness,maximum
set brightness to maximum,adjust brightness,maximum
adjust screen to maximum,adjust brightness,maximum
set brightness to maximum,adjust brightness,maximum
set volume to 70%,increase volume,70%
volume 90%,increase volume,90%
restart pc,reboot system,none
adjust volume to 0%,increase volume,0%
make screen 50% bright,adjust brightness,50%
adjust volume to 40%,increase volume,40%
make screen 50% bright,adjust brightness,50%
brightness 25%,adjust brightness,25%
set brightness to 75%,adjust brightness,75%
make screen 75% bright,adjust brightness,75%
volume 100%,increase volume,100%
change volume to 100%,increase volume,100%
set brightness to 50%,adjust brightness,50%
set brightness to maximum,adjust brightness,maximum
reboot computer,reboot system,none
brightness maximum,adjust brightness,maximum
change brightness to 75%,adjust brightness,75%
brightness 50%,adjust brightness,50%
make it 40% loud,increase volume,40%
adjust volume to 70%,increase volume,70%
set brightness to minimum,adjust brightness,minimum
adjust screen to 75%,adjust brightness,75%
volume 50%,increase volume,50%
make it 60% loud,increase volume,60%
brightness 50%,adjust brightness,50%
set brightness to 25%,adjust brightness,25%
volume 0%,increase volume,0%
make it 60% loud,increase volume,60%
reboot computer,reboot system,none
reboot computer,reboot system,none
adjust screen to 75%,adjust brightness,75%
volume 40%,increase volume,40%
adjust screen to minimum,adjust brightness,minimum
change volume to 0%,increase volume,0%
adjust volume to mute,increase volume,mute
change volume to 80%,increase volume,80%
volume 100%,increase volume,100%
change volume to 20%,increase volume,20%
set brightness to minimum,adjust brightness,minimum
make it 90% loud,increase volume,90%
make screen 50% bright,adjust brightness,50%
change brightness to minimum,adjust brightness,minimum
set volume to 60%,increase volume,60%
set brightness to maximum,adjust brightness,maximum
make it 80% loud,increase volume,80%
restart the computer,reboot system,none
volume 60%,increase volume,60%
system restart needed,reboot system,none
make screen maximum bright,adjust brightness,maximum
change volume to 70%,increase volume,70%
make screen 25% bright,adjust brightness,25%
restart the computer,reboot system,none
brightness 75%,adjust brightness,75%
brightness 50%,adjust brightness,50%
make screen 25% bright,adjust brightness,25%
make it 0% loud,increase volume,0%
change brightness to 25%,adjust brightness,25%
set volume to 30%,increase volume,30%
change brightness to 25%,adjust brightness,25%
make screen maximum bright,adjust brightness,maximum
adjust volume to 60%,increase volume,60%
change volume to 30%,increase volume,30%
brightness 50%,adjust brightness,50%
adjust screen to 75%,adjust brightness,75%
adjust screen to 75%,adjust brightness,75%
adjust volume to 80%,increase volume,80%
restart the computer,reboot system,none
brightness maximum,adjust brightness,maximum
set volume to 40%,increase volume,40%
change brightness to minimum,adjust brightness,minimum
volume 10%,increase volume,10%
set volume to mute,increase volume,mute
set brightness to 25%,adjust brightness,25%
set brightness to 75%,adjust brightness,75%
set brightness to 75%,adjust brightness,75%
make screen 75% bright,adjust brightness,75%
brightness minimum,adjust brightness,minimum
set volume to 40%,increase volume,40%
make screen minimum bright,adjust brightness,minimum
set volume to maximum,increase volume,maximum
change brightness to 75%,adjust brightness,75%
adjust screen to 75%,adjust brightness,75%
restart pc,reboot system,none
brightness maximum,adjust brightness,maximum
make screen 50% bright,adjust brightness,50%
set volume to 10%,increase volume,10%
make screen maximum bright,adjust brightness,maximum
adjust screen to 50%,adjust brightness,50%
make screen maximum bright,adjust brightness,maximum
adjust volume to 20%,increase volume,20%
make screen 50% bright,adjust brightness,50%
set brightness to 25%,adjust brightness,25%
volume maximum,increase volume,maximum
make screen 50% bright,adjust brightness,50%
make screen 75% bright,adjust brightness,75%
adjust screen to minimum,adjust brightness,minimum
brightness maximum,adjust brightness,maximum
change brightness to 50%,adjust brightness,50%
change brightness to 50%,adjust brightness,50%
adjust volume to 100%,increase volume,100%
volume 20%,increase volume,20%
brightness 75%,adjust brightness,75%
volume maximum,increase volume,maximum
brightness maximum,adjust brightness,maximum
brightness 50%,adjust brightness,50%
adjust screen to 75%,adjust brightness,75%
set brightness to 25%,adjust brightness,25%
volume 50%,increase volume,50%
set volume to 100%,increase volume,100%
restart pc,reboot system,none
system restart needed,reboot system,none
set brightness to maximum,adjust brightness,maximum
set volume to 0%,increase volume,0%
adjust screen to maximum,adjust brightness,maximum
adjust screen to 25%,adjust brightness,25%
make screen minimum bright,adjust brightness,minimum
set brightness to maximum,adjust brightness,maximum
make it mute loud,increase volume,mute
set volume to 80%,increase volume,80%
set volume to 20%,increase volume,20%
system restart needed,reboot system,none
set volume to 70%,increase volume,70%
brightness 50%,adjust brightness,50%
set brightness to minimum,adjust brightness,minimum
make screen 50% bright,adjust brightness,50%
make screen minimum bright,adjust brightness,minimum
make screen 75% bright,adjust brightness,75%
volume mute,increase volume,mute
adjust volume to 60%,increase volume,60%
change brightness to 25%,adjust brightness,25%
make screen 75% bright,adjust brightness,75%
volume mute,increase volume,mute
reboot computer,reboot system,none
reboot system,reboot system,none
change brightness to 75%,adjust brightness,75%
change volume to 70%,increase volume,70%
set brightness to minimum,adjust brightness,minimum
adjust volume to 90%,increase volume,90%
set brightness to maximum,adjust brightness,maximum
set brightness to maximum,adjust brightness,maximum
set brightness to maximum,adjust brightness,maximum
restart pc,reboot system,none
restart pc,reboot system,none
brightness 25%,adjust brightness,25%
make it 60% loud,increase volume,60%
set brightness to maximum,adjust brightness,maximum
reboot system,reboot system,none
adjust screen to minimum,adjust brightness,minimum
set volume to 40%,increase volume,40%
brightness minimum,adjust brightness,minimum
restart pc,reboot system,none
restart pc,reboot system,none
adjust volume to maximum,increase volume,maximum
change volume to 30%,increase volume,30%
reboot computer,reboot system,none
change brightness to maximum,adjust brightness,maximum
brightness 50%,adjust brightness,50%
reboot system,reboot system,none
