natural_language_command,main_command,argument
can you google weather forecast for me,web_search,weather forecast
change volume down,media_control,volume down
search for flights please,web_search,flights
I want you to find restaurants for me,web_search,restaurants
look up movies for me,web_search,movies
search for news,web_search,news
launch terminal,open_application,terminal
change unmute for me,media_control,unmute
can you look up news please,web_search,news
help me exit spotify,close_application,spotify
could you display system status now,system_status,system status
please quit notepad please,close_application,notepad
I need you to launch chrome,open_application,chrome
help me change brightness up,media_control,brightness up
please close photoshop,close_application,photoshop
please close notepad for me,close_application,notepad
can you close excel,close_application,excel
can you search for movies for me,web_search,movies
could you search for hotels please,web_search,hotels
look up movies,web_search,movies
can you set mute now,media_control,mute
launch chrome now,open_application,chrome
would you mind quit powerpoint for me,close_application,powerpoint
help me terminate notepad now,close_application,notepad
please google flights,web_search,flights
help me google recipes for me,web_search,recipes
I want you to terminate notepad for me,close_application,notepad
please set brightness down,media_control,brightness down
help me google products now,web_search,products
help me search for restaurants for me,web_search,restaurants
can you exit powerpoint for me,close_application,powerpoint
can you set volume down please,media_control,volume down
please launch terminal for me,open_application,terminal
I need you to display system status,system_status,system status
find products,web_search,products
I need you to start firefox now,open_application,firefox
I want you to quit firefox now,close_application,firefox
I want you to quit powerpoint now,close_application,powerpoint
could you get network status,system_status,network status
set brightness down now,media_control,brightness down
please launch photoshop,open_application,photoshop
find flights for me,web_search,flights
can you check battery now,system_status,battery
google tutorials now,web_search,tutorials
display cpu usage,system_status,cpu usage
please google tutorials,web_search,tutorials
I need you to exit matlab now,close_application,matlab
I want you to close matlab,close_application,matlab
help me set mute,media_control,mute
terminate chrome now,close_application,chrome
help me change mute for me,media_control,mute
could you run vscode,open_application,vscode
would you mind display system status for me,system_status,system status
I need you to quit spotify now,close_application,spotify
I want you to search for recipes now,web_search,recipes
adjust unmute please,media_control,unmute
would you mind quit terminal for me,close_application,terminal
I need you to get memory usage please,system_status,memory usage
can you find restaurants for me,web_search,restaurants
could you get network status please,system_status,network status
search for tutorials now,web_search,tutorials
can you google recipes,web_search,recipes
please set volume down please,media_control,volume down
please look up restaurants for me,web_search,restaurants
would you mind look up flights please,web_search,flights
get battery for me,system_status,battery
help me get cpu usage please,system_status,cpu usage
I need you to adjust unmute please,media_control,unmute
would you mind start calculator please,open_application,calculator
help me open terminal,open_application,terminal
would you mind quit firefox,close_application,firefox
I need you to run firefox now,open_application,firefox
could you launch terminal for me,open_application,terminal
could you exit vscode,close_application,vscode
would you mind get network status please,system_status,network status
I want you to change unmute please,media_control,unmute
please close firefox please,close_application,firefox
would you mind close word,close_application,word
can you get memory usage,system_status,memory usage
help me google tutorials,web_search,tutorials
help me search for courses for me,web_search,courses
can you adjust volume down for me,media_control,volume down
please find tutorials for me,web_search,tutorials
please close excel for me,close_application,excel
can you launch terminal,open_application,terminal
would you mind display disk space,system_status,disk space
help me get memory usage for me,system_status,memory usage
help me find tutorials please,web_search,tutorials
I need you to start notepad for me,open_application,notepad
help me get cpu usage for me,system_status,cpu usage
help me start matlab,open_application,matlab
please search for flights now,web_search,flights
could you quit excel for me,close_application,excel
please run spotify please,open_application,spotify
I need you to google movies now,web_search,movies
please get cpu usage please,system_status,cpu usage
I want you to search for flights now,web_search,flights
I need you to launch photoshop please,open_application,photoshop
help me terminate excel,close_application,excel
please run calculator please,open_application,calculator
launch powerpoint,open_application,powerpoint
please search for flights please,web_search,flights
please open vscode for me,open_application,vscode
could you exit powerpoint now,close_application,powerpoint
can you set unmute for me,media_control,unmute
help me search for tutorials,web_search,tutorials
please adjust unmute,media_control,unmute
look up jobs for me,web_search,jobs
I want you to launch firefox please,open_application,firefox
help me terminate firefox for me,close_application,firefox
help me check network status,system_status,network status
please open firefox please,open_application,firefox
could you launch word for me,open_application,word
could you terminate vscode,close_application,vscode
I need you to google tutorials,web_search,tutorials
could you check system status please,system_status,system status
look up weather forecast,web_search,weather forecast
would you mind close matlab,close_application,matlab
please set brightness up now,media_control,brightness up
I need you to change mute,media_control,mute
could you adjust unmute please,media_control,unmute
check network status now,system_status,network status
could you launch powerpoint now,open_application,powerpoint
I want you to google news,web_search,news
would you mind find weather forecast now,web_search,weather forecast
I want you to search for hotels now,web_search,hotels
help me look up weather forecast now,web_search,weather forecast
I need you to set brightness up please,media_control,brightness up
open calculator for me,open_application,calculator
could you launch terminal now,open_application,terminal
help me quit vscode,close_application,vscode
would you mind open excel please,open_application,excel
help me show network status for me,system_status,network status
please adjust unmute for me,media_control,unmute
help me change volume up please,media_control,volume up
open powerpoint now,open_application,powerpoint
can you exit powerpoint please,close_application,powerpoint
can you google courses please,web_search,courses
can you start chrome,open_application,chrome
help me adjust brightness down,media_control,brightness down
could you exit matlab please,close_application,matlab
help me show cpu usage,system_status,cpu usage
could you find weather forecast now,web_search,weather forecast
would you mind find weather forecast please,web_search,weather forecast
would you mind get battery please,system_status,battery
could you launch spotify for me,open_application,spotify
would you mind display memory usage now,system_status,memory usage
I need you to open chrome please,open_application,chrome
I need you to look up weather forecast,web_search,weather forecast
can you get cpu usage,system_status,cpu usage
please find products now,web_search,products
would you mind search for flights for me,web_search,flights
please open notepad,open_application,notepad
would you mind run firefox please,open_application,firefox
would you mind open vscode,open_application,vscode
would you mind search for flights please,web_search,flights
help me display memory usage now,system_status,memory usage
help me display cpu usage,system_status,cpu usage
please find weather forecast,web_search,weather forecast
I need you to exit spotify for me,close_application,spotify
please change brightness up please,media_control,brightness up
could you exit vscode please,close_application,vscode
I want you to run photoshop for me,open_application,photoshop
could you quit firefox now,close_application,firefox
please show system status please,system_status,system status
help me get memory usage,system_status,memory usage
could you look up weather forecast for me,web_search,weather forecast
help me run photoshop for me,open_application,photoshop
I want you to close terminal now,close_application,terminal
I need you to exit photoshop for me,close_application,photoshop
please google flights now,web_search,flights
I need you to open excel now,open_application,excel
show system status please,system_status,system status
help me set volume down for me,media_control,volume down
help me open spotify,open_application,spotify
help me open excel for me,open_application,excel
would you mind show network status please,system_status,network status
I want you to get battery for me,system_status,battery
please show network status,system_status,network status
run vscode now,open_application,vscode
I want you to look up tutorials for me,web_search,tutorials
I want you to quit excel for me,close_application,excel
help me launch powerpoint please,open_application,powerpoint
would you mind close powerpoint,close_application,powerpoint
I need you to show cpu usage,system_status,cpu usage
I want you to start matlab for me,open_application,matlab
I want you to look up restaurants now,web_search,restaurants
I want you to terminate calculator now,close_application,calculator
terminate firefox now,close_application,firefox
I want you to search for weather forecast please,web_search,weather forecast
I need you to check disk space now,system_status,disk space
I need you to terminate powerpoint please,close_application,powerpoint
please start chrome,open_application,chrome
can you find courses,web_search,courses
close firefox,close_application,firefox
help me show battery now,system_status,battery
I need you to close vscode now,close_application,vscode
can you start notepad now,open_application,notepad
could you run chrome now,open_application,chrome
I need you to close calculator for me,close_application,calculator
can you exit notepad now,close_application,notepad
run notepad for me,open_application,notepad
google tutorials,web_search,tutorials
would you mind show memory usage please,system_status,memory usage
would you mind look up products,web_search,products
can you search for jobs now,web_search,jobs
would you mind launch notepad for me,open_application,notepad
please launch matlab,open_application,matlab
please search for tutorials for me,web_search,tutorials
can you get system status please,system_status,system status
help me look up jobs now,web_search,jobs
I want you to adjust volume down please,media_control,volume down
help me check network status now,system_status,network status
help me display memory usage please,system_status,memory usage
would you mind terminate notepad,close_application,notepad
I want you to quit photoshop,close_application,photoshop
please get network status now,system_status,network status
please display system status for me,system_status,system status
I need you to launch terminal,open_application,terminal
terminate photoshop for me,close_application,photoshop
could you google tutorials now,web_search,tutorials
would you mind terminate chrome,close_application,chrome
can you look up products for me,web_search,products
please change unmute for me,media_control,unmute
I want you to terminate excel,close_application,excel
help me start matlab now,open_application,matlab
would you mind show disk space now,system_status,disk space
help me check system status now,system_status,system status
help me get battery for me,system_status,battery
please quit firefox for me,close_application,firefox
help me close chrome please,close_application,chrome
could you terminate excel,close_application,excel
could you set unmute now,media_control,unmute
please quit photoshop please,close_application,photoshop
help me start calculator for me,open_application,calculator
I want you to google flights now,web_search,flights
could you terminate terminal now,close_application,terminal
would you mind close chrome for me,close_application,chrome
quit calculator please,close_application,calculator
could you look up weather forecast now,web_search,weather forecast
I want you to search for restaurants please,web_search,restaurants
could you set mute please,media_control,mute
can you find tutorials now,web_search,tutorials
I want you to open vscode,open_application,vscode
I need you to check cpu usage for me,system_status,cpu usage
I need you to search for hotels please,web_search,hotels
could you get system status please,system_status,system status
help me check cpu usage now,system_status,cpu usage
change unmute,media_control,unmute
I want you to launch word for me,open_application,word
please show system status for me,system_status,system status
please open powerpoint,open_application,powerpoint
can you search for products now,web_search,products
can you exit photoshop for me,close_application,photoshop
please set unmute,media_control,unmute
I want you to terminate photoshop for me,close_application,photoshop
please close calculator for me,close_application,calculator
please terminate calculator,close_application,calculator
help me adjust brightness down for me,media_control,brightness down
would you mind close vscode now,close_application,vscode
can you google recipes please,web_search,recipes
please google reviews for me,web_search,reviews
help me exit powerpoint please,close_application,powerpoint
I want you to terminate powerpoint,close_application,powerpoint
I need you to check network status now,system_status,network status
I need you to start powerpoint now,open_application,powerpoint
can you show battery now,system_status,battery
I need you to find hotels for me,web_search,hotels
can you exit matlab for me,close_application,matlab
please get battery please,system_status,battery
could you search for products for me,web_search,products
please open firefox for me,open_application,firefox
would you mind set unmute please,media_control,unmute
could you set volume down please,media_control,volume down
would you mind find movies,web_search,movies
find recipes please,web_search,recipes
I want you to display system status please,system_status,system status
can you run chrome for me,open_application,chrome
would you mind start photoshop now,open_application,photoshop
I need you to terminate calculator please,close_application,calculator
help me start photoshop please,open_application,photoshop
would you mind start word for me,open_application,word
I need you to find restaurants,web_search,restaurants
can you get system status,system_status,system status
can you display system status now,system_status,system status
set mute please,media_control,mute
I want you to search for weather forecast,web_search,weather forecast
would you mind open firefox for me,open_application,firefox
could you launch powerpoint,open_application,powerpoint
look up recipes,web_search,recipes
I need you to terminate calculator now,close_application,calculator
can you launch notepad please,open_application,notepad
I want you to adjust brightness down,media_control,brightness down
please close chrome please,close_application,chrome
would you mind close powerpoint now,close_application,powerpoint
can you set volume up for me,media_control,volume up
I want you to open matlab now,open_application,matlab
terminate excel now,close_application,excel
find hotels for me,web_search,hotels
help me terminate firefox now,close_application,firefox
I want you to open notepad for me,open_application,notepad
help me open firefox for me,open_application,firefox
I want you to set unmute please,media_control,unmute
I need you to close excel please,close_application,excel
I want you to launch photoshop please,open_application,photoshop
start word for me,open_application,word
would you mind change brightness up for me,media_control,brightness up
please terminate powerpoint please,close_application,powerpoint
please terminate vscode,close_application,vscode
I need you to adjust volume down please,media_control,volume down
would you mind exit chrome for me,close_application,chrome
I want you to show battery now,system_status,battery
would you mind terminate terminal for me,close_application,terminal
I need you to open excel please,open_application,excel
find weather forecast,web_search,weather forecast
can you quit spotify now,close_application,spotify
please google hotels now,web_search,hotels
I want you to terminate terminal,close_application,terminal
adjust brightness down now,media_control,brightness down
could you find tutorials for me,web_search,tutorials
would you mind change mute please,media_control,mute
could you find reviews,web_search,reviews
help me find flights,web_search,flights
help me quit firefox for me,close_application,firefox
could you exit excel please,close_application,excel
start chrome now,open_application,chrome
please get memory usage for me,system_status,memory usage
please start chrome for me,open_application,chrome
would you mind google movies for me,web_search,movies
I need you to google restaurants for me,web_search,restaurants
please open excel for me,open_application,excel
please show cpu usage please,system_status,cpu usage
could you start firefox for me,open_application,firefox
get memory usage,system_status,memory usage
would you mind start notepad now,open_application,notepad
please exit firefox please,close_application,firefox
I want you to close photoshop for me,close_application,photoshop
help me run firefox please,open_application,firefox
can you look up flights for me,web_search,flights
I want you to google courses now,web_search,courses
would you mind exit photoshop,close_application,photoshop
can you launch notepad,open_application,notepad
launch photoshop now,open_application,photoshop
I need you to close chrome now,close_application,chrome
can you look up recipes,web_search,recipes
help me display system status now,system_status,system status
please terminate calculator now,close_application,calculator
help me google restaurants for me,web_search,restaurants
google movies please,web_search,movies
I want you to set unmute now,media_control,unmute
could you launch photoshop please,open_application,photoshop
would you mind close terminal for me,close_application,terminal
I need you to find news please,web_search,news
I want you to run word now,open_application,word
I want you to terminate notepad please,close_application,notepad
can you start notepad,open_application,notepad
start word now,open_application,word
terminate vscode for me,close_application,vscode
help me show memory usage for me,system_status,memory usage
could you terminate firefox for me,close_application,firefox
I need you to search for restaurants for me,web_search,restaurants
help me google courses now,web_search,courses
please get disk space for me,system_status,disk space
help me google hotels now,web_search,hotels
would you mind check disk space for me,system_status,disk space
exit word now,close_application,word
would you mind look up jobs,web_search,jobs
would you mind check system status for me,system_status,system status
I want you to google weather forecast,web_search,weather forecast
could you search for jobs for me,web_search,jobs
quit photoshop now,close_application,photoshop
please close vscode for me,close_application,vscode
please quit photoshop now,close_application,photoshop
please close calculator,close_application,calculator
I want you to display disk space now,system_status,disk space
could you adjust volume down please,media_control,volume down
I want you to start vscode,open_application,vscode
would you mind google flights for me,web_search,flights
please start powerpoint,open_application,powerpoint
I want you to exit spotify,close_application,spotify
can you exit terminal for me,close_application,terminal
would you mind get cpu usage now,system_status,cpu usage
I want you to google movies,web_search,movies
I want you to google hotels please,web_search,hotels
can you exit word,close_application,word
I want you to change volume down,media_control,volume down
help me close vscode for me,close_application,vscode
help me check network status for me,system_status,network status
help me look up movies please,web_search,movies
help me look up weather forecast please,web_search,weather forecast
help me change mute,media_control,mute
can you search for weather forecast please,web_search,weather forecast
would you mind adjust mute for me,media_control,mute
please check cpu usage now,system_status,cpu usage
help me terminate photoshop,close_application,photoshop
I need you to run powerpoint for me,open_application,powerpoint
could you google jobs please,web_search,jobs
help me open word,open_application,word
I need you to look up hotels please,web_search,hotels
I need you to show system status please,system_status,system status
I need you to terminate excel,close_application,excel
can you exit chrome,close_application,chrome
can you check memory usage for me,system_status,memory usage
I need you to change mute please,media_control,mute
could you adjust brightness up now,media_control,brightness up
would you mind launch terminal,open_application,terminal
could you look up hotels please,web_search,hotels
I need you to start calculator for me,open_application,calculator
get disk space now,system_status,disk space
can you change volume up please,media_control,volume up
help me display cpu usage now,system_status,cpu usage
can you display battery,system_status,battery
please change mute for me,media_control,mute
would you mind terminate spotify,close_application,spotify
can you quit word for me,close_application,word
help me search for products,web_search,products
I need you to display battery now,system_status,battery
would you mind terminate chrome for me,close_application,chrome
could you google weather forecast for me,web_search,weather forecast
could you google products please,web_search,products
I need you to display disk space,system_status,disk space
please google products for me,web_search,products
I want you to google jobs please,web_search,jobs
please launch excel for me,open_application,excel
can you google products,web_search,products
I need you to change brightness down now,media_control,brightness down
please search for restaurants,web_search,restaurants
could you terminate calculator please,close_application,calculator
would you mind close chrome now,close_application,chrome
could you adjust brightness up please,media_control,brightness up
I need you to open spotify for me,open_application,spotify
help me get battery,system_status,battery
please set brightness down please,media_control,brightness down
help me search for flights,web_search,flights
I need you to check memory usage,system_status,memory usage
could you terminate notepad please,close_application,notepad
would you mind close photoshop please,close_application,photoshop
can you find recipes now,web_search,recipes
would you mind adjust volume up now,media_control,volume up
I need you to set unmute,media_control,unmute
help me open calculator for me,open_application,calculator
I want you to look up restaurants for me,web_search,restaurants
can you quit spotify for me,close_application,spotify
can you google movies please,web_search,movies
could you close photoshop now,close_application,photoshop
I want you to get battery,system_status,battery
set volume down for me,media_control,volume down
run notepad please,open_application,notepad
please terminate excel now,close_application,excel
could you quit powerpoint now,close_application,powerpoint
I need you to show network status,system_status,network status
would you mind get battery,system_status,battery
launch notepad,open_application,notepad
please search for flights for me,web_search,flights
could you terminate photoshop please,close_application,photoshop
would you mind google hotels please,web_search,hotels
adjust volume down for me,media_control,volume down
can you close chrome please,close_application,chrome
I want you to start word now,open_application,word
set brightness up,media_control,brightness up
help me close calculator please,close_application,calculator
I want you to check memory usage please,system_status,memory usage
please google news,web_search,news
please check battery for me,system_status,battery
could you search for hotels,web_search,hotels
could you terminate chrome for me,close_application,chrome
I want you to exit chrome for me,close_application,chrome
can you look up news for me,web_search,news
can you exit firefox,close_application,firefox
could you exit spotify now,close_application,spotify
would you mind exit firefox now,close_application,firefox
I want you to change mute now,media_control,mute
can you google hotels now,web_search,hotels
I need you to start powerpoint for me,open_application,powerpoint
could you exit terminal now,close_application,terminal
can you look up flights please,web_search,flights
I want you to look up restaurants please,web_search,restaurants
help me launch spotify please,open_application,spotify
could you set mute,media_control,mute
could you change mute now,media_control,mute
would you mind close matlab please,close_application,matlab
I want you to search for restaurants for me,web_search,restaurants
help me display network status please,system_status,network status
run photoshop please,open_application,photoshop
can you show battery for me,system_status,battery
find jobs now,web_search,jobs
would you mind exit excel now,close_application,excel
please open terminal,open_application,terminal
exit vscode for me,close_application,vscode
can you open word for me,open_application,word
help me terminate photoshop please,close_application,photoshop
look up tutorials please,web_search,tutorials
please quit word please,close_application,word
I need you to launch chrome now,open_application,chrome
I need you to search for courses please,web_search,courses
would you mind google hotels now,web_search,hotels
I want you to display system status for me,system_status,system status
could you run matlab,open_application,matlab
show memory usage for me,system_status,memory usage
I want you to google products for me,web_search,products
can you start matlab please,open_application,matlab
start powerpoint,open_application,powerpoint
could you terminate notepad now,close_application,notepad
I need you to search for news now,web_search,news
help me terminate notepad,close_application,notepad
can you adjust brightness up now,media_control,brightness up
google jobs please,web_search,jobs
I need you to exit matlab,close_application,matlab
help me google jobs,web_search,jobs
would you mind adjust volume up please,media_control,volume up
would you mind run photoshop for me,open_application,photoshop
close matlab,close_application,matlab
please check network status please,system_status,network status
please find courses please,web_search,courses
please google tutorials now,web_search,tutorials
I want you to exit notepad for me,close_application,notepad
can you search for weather forecast for me,web_search,weather forecast
can you google weather forecast now,web_search,weather forecast
can you close vscode for me,close_application,vscode
I need you to open terminal now,open_application,terminal
show battery please,system_status,battery
look up products now,web_search,products
help me check cpu usage for me,system_status,cpu usage
can you look up restaurants now,web_search,restaurants
I need you to find movies for me,web_search,movies
please show network status now,system_status,network status
could you google news,web_search,news
I want you to get system status,system_status,system status
help me google recipes,web_search,recipes
would you mind exit excel please,close_application,excel
I need you to start spotify for me,open_application,spotify
can you show system status for me,system_status,system status
please exit terminal for me,close_application,terminal
would you mind launch word please,open_application,word
set brightness up please,media_control,brightness up
help me start chrome please,open_application,chrome
help me set brightness down now,media_control,brightness down
I want you to find flights for me,web_search,flights
would you mind look up products please,web_search,products
launch excel for me,open_application,excel
could you check network status for me,system_status,network status
could you set volume down for me,media_control,volume down
would you mind start firefox now,open_application,firefox
look up restaurants for me,web_search,restaurants
launch firefox,open_application,firefox
help me show disk space now,system_status,disk space
I need you to run terminal please,open_application,terminal
please search for hotels please,web_search,hotels
would you mind change brightness up,media_control,brightness up
start powerpoint for me,open_application,powerpoint
I want you to look up flights,web_search,flights
could you change brightness down please,media_control,brightness down
I want you to find courses now,web_search,courses
look up weather forecast now,web_search,weather forecast
would you mind change brightness up please,media_control,brightness up
I want you to open photoshop for me,open_application,photoshop
open photoshop now,open_application,photoshop
I need you to check disk space please,system_status,disk space
I want you to change volume up,media_control,volume up
close powerpoint now,close_application,powerpoint
could you open word,open_application,word
show battery now,system_status,battery
help me open firefox please,open_application,firefox
show memory usage,system_status,memory usage
would you mind launch matlab for me,open_application,matlab
display memory usage,system_status,memory usage
I want you to start terminal for me,open_application,terminal
could you close powerpoint for me,close_application,powerpoint
could you quit excel now,close_application,excel
open photoshop please,open_application,photoshop
could you check disk space now,system_status,disk space
I want you to quit terminal now,close_application,terminal
can you change brightness down now,media_control,brightness down
I need you to search for hotels,web_search,hotels
would you mind look up news now,web_search,news
help me get disk space now,system_status,disk space
help me look up weather forecast,web_search,weather forecast
I want you to terminate photoshop now,close_application,photoshop
please start excel,open_application,excel
would you mind exit photoshop now,close_application,photoshop
please display system status,system_status,system status
help me google flights for me,web_search,flights
would you mind start terminal now,open_application,terminal
I want you to start excel,open_application,excel
launch word for me,open_application,word
open matlab please,open_application,matlab
can you set volume down,media_control,volume down
help me search for movies,web_search,movies
please check network status now,system_status,network status
quit notepad now,close_application,notepad
set unmute now,media_control,unmute
help me search for restaurants,web_search,restaurants
help me adjust mute now,media_control,mute
please open notepad please,open_application,notepad
I need you to search for movies for me,web_search,movies
I want you to google jobs now,web_search,jobs
display battery now,system_status,battery
please terminate excel for me,close_application,excel
would you mind find weather forecast,web_search,weather forecast
would you mind exit calculator for me,close_application,calculator
can you launch powerpoint please,open_application,powerpoint
I want you to show network status please,system_status,network status
please find tutorials,web_search,tutorials
please set volume down now,media_control,volume down
please adjust unmute please,media_control,unmute
get disk space please,system_status,disk space
google tutorials for me,web_search,tutorials
would you mind search for products please,web_search,products
help me find jobs now,web_search,jobs
I want you to exit firefox,close_application,firefox
could you check disk space for me,system_status,disk space
could you close excel please,close_application,excel
would you mind run notepad please,open_application,notepad
please find movies,web_search,movies
please google reviews now,web_search,reviews
can you display battery for me,system_status,battery
I want you to google reviews for me,web_search,reviews
terminate excel for me,close_application,excel
would you mind adjust brightness down for me,media_control,brightness down
help me open calculator please,open_application,calculator
please terminate matlab for me,close_application,matlab
please display battery for me,system_status,battery
I need you to look up tutorials please,web_search,tutorials
please look up flights please,web_search,flights
open firefox now,open_application,firefox
I want you to look up courses,web_search,courses
can you quit matlab,close_application,matlab
I want you to check cpu usage please,system_status,cpu usage
would you mind google recipes please,web_search,recipes
could you look up restaurants for me,web_search,restaurants
I want you to start powerpoint now,open_application,powerpoint
look up flights please,web_search,flights
I need you to quit vscode,close_application,vscode
I need you to check disk space for me,system_status,disk space
help me change brightness up please,media_control,brightness up
would you mind set volume down please,media_control,volume down
could you show cpu usage for me,system_status,cpu usage
can you find courses for me,web_search,courses
I want you to close firefox,close_application,firefox
I need you to search for courses,web_search,courses
can you show network status,system_status,network status
I need you to close terminal for me,close_application,terminal
could you run calculator please,open_application,calculator
could you open powerpoint now,open_application,powerpoint
I need you to start photoshop for me,open_application,photoshop
would you mind quit word please,close_application,word
I need you to display cpu usage please,system_status,cpu usage
terminate word for me,close_application,word
I want you to look up courses please,web_search,courses
could you open vscode,open_application,vscode
would you mind change volume down for me,media_control,volume down
please adjust volume down now,media_control,volume down
help me close terminal,close_application,terminal
check system status now,system_status,system status
help me quit powerpoint for me,close_application,powerpoint
I want you to launch powerpoint now,open_application,powerpoint
I want you to show system status,system_status,system status
please look up movies now,web_search,movies
can you find news,web_search,news
please quit excel now,close_application,excel
can you display battery please,system_status,battery
would you mind terminate word please,close_application,word
could you show network status for me,system_status,network status
please close matlab please,close_application,matlab
I want you to start word,open_application,word
I need you to get memory usage for me,system_status,memory usage
check disk space for me,system_status,disk space
I want you to find news please,web_search,news
I want you to display battery now,system_status,battery
would you mind open powerpoint now,open_application,powerpoint
please start terminal please,open_application,terminal
would you mind quit notepad please,close_application,notepad
I need you to open spotify please,open_application,spotify
could you exit spotify,close_application,spotify
can you close vscode please,close_application,vscode
I need you to run chrome for me,open_application,chrome
would you mind show battery,system_status,battery
I want you to get network status for me,system_status,network status
show disk space for me,system_status,disk space
I need you to start matlab please,open_application,matlab
help me set mute for me,media_control,mute
could you open word for me,open_application,word
can you exit calculator please,close_application,calculator
I want you to terminate matlab,close_application,matlab
please set volume up please,media_control,volume up
look up courses,web_search,courses
would you mind display battery,system_status,battery
change brightness down please,media_control,brightness down
can you find products,web_search,products
can you terminate chrome,close_application,chrome
look up movies please,web_search,movies
help me google movies now,web_search,movies
help me display system status for me,system_status,system status
I want you to display disk space please,system_status,disk space
could you get disk space please,system_status,disk space
would you mind get cpu usage for me,system_status,cpu usage
help me close terminal please,close_application,terminal
I need you to exit chrome,close_application,chrome
please open firefox,open_application,firefox
could you set brightness up please,media_control,brightness up
help me search for reviews for me,web_search,reviews
help me google restaurants now,web_search,restaurants
help me run spotify now,open_application,spotify
help me search for hotels now,web_search,hotels
can you exit notepad,close_application,notepad
could you search for movies now,web_search,movies
I want you to search for tutorials for me,web_search,tutorials
please change volume up please,media_control,volume up
I need you to open notepad for me,open_application,notepad
help me launch spotify,open_application,spotify
help me set brightness down,media_control,brightness down
help me display battery for me,system_status,battery
I need you to open powerpoint please,open_application,powerpoint
I want you to look up reviews please,web_search,reviews
I want you to start terminal please,open_application,terminal
help me check memory usage for me,system_status,memory usage
could you adjust volume up now,media_control,volume up
could you quit spotify now,close_application,spotify
find recipes now,web_search,recipes
open photoshop,open_application,photoshop
please quit matlab please,close_application,matlab
I want you to find products now,web_search,products
could you find jobs for me,web_search,jobs
could you close matlab,close_application,matlab
could you set brightness up for me,media_control,brightness up
please open word,open_application,word
would you mind run excel,open_application,excel
would you mind adjust volume up,media_control,volume up
I need you to set brightness up for me,media_control,brightness up
I want you to quit spotify,close_application,spotify
would you mind change brightness down now,media_control,brightness down
could you search for courses,web_search,courses
help me terminate word for me,close_application,word
I need you to adjust volume down for me,media_control,volume down
please run excel please,open_application,excel
display disk space please,system_status,disk space
can you run firefox for me,open_application,firefox
please start notepad now,open_application,notepad
please search for courses please,web_search,courses
can you run matlab now,open_application,matlab
could you get disk space,system_status,disk space
help me launch chrome please,open_application,chrome
I need you to exit vscode for me,close_application,vscode
I need you to show cpu usage please,system_status,cpu usage
can you terminate excel,close_application,excel
I want you to look up news,web_search,news
I need you to show cpu usage now,system_status,cpu usage
I need you to check system status now,system_status,system status
would you mind quit powerpoint,close_application,powerpoint
I need you to set volume up please,media_control,volume up
I need you to close excel for me,close_application,excel
I want you to run matlab for me,open_application,matlab
can you start powerpoint please,open_application,powerpoint
would you mind check battery,system_status,battery
could you open chrome now,open_application,chrome
I want you to google tutorials now,web_search,tutorials
help me open notepad,open_application,notepad
I need you to set brightness up now,media_control,brightness up
help me find reviews now,web_search,reviews
I want you to find jobs for me,web_search,jobs
could you start terminal for me,open_application,terminal
can you display memory usage for me,system_status,memory usage
I want you to google tutorials,web_search,tutorials
I want you to look up jobs please,web_search,jobs
could you start chrome now,open_application,chrome
I want you to find reviews for me,web_search,reviews
help me launch powerpoint for me,open_application,powerpoint
google recipes for me,web_search,recipes
